St	Ref	Mass
3	2803	587
4	2811	383
5	2811	749
6	2811	512
7	2811	675
8	2811	675
96	2811	966
98	2811	1040
99	2811	1040
102	2811	1331
122	2811	895
163	2811	895
166	2811	895
167	2811	1041
297	2811	1041
4	2812	383
7	2812	675
25	2812	221
96	2812	966
102	2812	1331
637	2812	1697
